dcterms:modified	institutionCode	collectionCode	basisOfRecord	catalogNumber	scientificName	scientificNameAuthorship	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	identifiedBy	dateIdentified	typeStatus	recordNumber	fieldNumber	recordedBy	eventDate	continent	country	stateProvince	county	locality	decimalLongitude	decimalLatitude	coordinateUncertaintyInMeters	verbatimElevation	verbatimDepth	sex	lifeStage	preparations	individualCount	otherCatalogNumbers	occurrenceRemarks	samplingProtocol	identificationQualifier	habitat	associatedTaxa	georeferenceRemarks	verbatimCoordinates	verbatimSRS	associatedMedia	CreativeCommonsLicense	ArtObsID	occurrenceID	UTMsone	UTMX	UTMY	datasetName	
2013-09-30	O	F	Preserved specimen	284609	Phellinus tremulae	(Bondartsev) Bondartsev & B.N. Borisov									Even W. Hanssen	2007-04-27		EWH14-07		Even W. Hanssen	2007-04-27		Norway	Østfold	Hobøl	Hobøl: Tomter: Brekke, øst for	10.9852	59.6446	7											På osp i leirrik ravine ovenfor Hobølelva		OR	32V PM 1190,1350	WGS84					33	273758	6618676		
2013-09-30	O	F	Preserved specimen	295983	Puccinia coronata	Corda									H. B. Gjærum			32422		Kåre Arnstein Lye	2010-08-09		Norway	Østfold	Hobøl	Hobøl: Tomter sokn, Tolshus	10.9901	59.653	71	110 m										På vegkant mot åker. On the host Avena sativa		OR	32V PM 121,144	WGS84					33	274087	6619595		
2013-09-30	O	F	Preserved specimen	20182	Hymenochaetopsis tabacina	(Sowerby) S.H. He & Jiao Yang									Jens Stordal	1961-04-09				Jens Stordal	1961-04-09		Norway	Østfold	Hobøl	Svikebøl nord for Tomter st.	11.0337	59.6873	707											På Corylus		OR	32V PM 14,18	ED50					33	276764	6623420		
2013-09-30	O	F	Preserved specimen	184723	Diatrype flavovirens	(Pers.: Fr.) Fr.									Finn-Egil Eckblad	1965-04-18				Finn-Egil Eckblad	1965-04-18		Norway	Østfold	Hobøl	Hobøl, Tomter, Tolfshus	10.9864	59.6513	570													GS	32V PM 116-122,138-146	WGS84					33	273870	6619414		
2019-01-15	O	F	Preserved specimen	164675	Merismodes anomala	(Pers. : Fr.) Singer									Ivar Jørstad	1942-06-27				Ivar Jørstad	1942-06-27		Norway	Oppland	Gjøvik	Tomter	10.3324	60.8998	500													GS	33V 246900,6760645	WGS84					33	246900	6760645		
2013-09-30	O	F	Preserved specimen	243064	Puccinia arenariae	(Schumach.) G. Winter									Kåre Arnstein Lye	2010-06-10		31877		Kåre Arnstein Lye	2010-06-10		Norway	Østfold	Hobøl	Hobøl k.: like nord for Tomter stasjon,	11.0029	59.66	71	95 m										på grasbakke		OR	32V PM 128,152	WGS84					33	274857	6620329		
2013-09-30	O	F	Preserved specimen	65936	Clavaria zollingeri	Lév.									Dag Semmingsen	2003-09-13				Dag Semmingsen	2003-09-13		Norway	Hedmark	Hamar	Søndre Tomter, Hamar	11.1478	60.8362	71								"Fiolett (DS)".			Ugjødsla sauebeite		OR	32V PN 167,464	WGS84					33	290662	6750687		
2019-01-17	O	F	Preserved specimen	185731	Hydnotrya bailii	Soehner									Anne Molia	2016-02-15				Petter Tomter	1992-07-31		Norway	Akershus	Vestby	Vestby, Kjenn	10.7316	59.5619	1331											på sti, blandet granskog		GS	32V NM 971-985,028-049	WGS84					33	258885	6610374		
2013-09-30	O	F	Preserved specimen	293895	Puccinia caricina var. caricina	DC.									Kåre Arnstein Lye	2010-08-17		32468		Kåre Arnstein Lye	2010-08-17		Norway	Østfold	Hobøl	Hobøl: Tomter sokn, Mjær, vestsida ved parkeringspla	11.0384	59.69	71	110 m										På stranda		OR	32V PM 147,186	WGS84					33	277057	6623545		
2013-09-30	O	F	Preserved specimen	180035	Hypoxylon fuscum	(Pers.: Fr.) Fr.									Alfred Granmo	1976-01-19		237/72		Anna-Elise Torkelsen	1972-06-18		Norway	Østfold	Hobøl	Tomter	11.0029	59.66	1710													GS	32V PM 118-138,139-165	WGS84					33	274857	6620329		
