PK_LatinskNavnID;Rike;Underrike;Rekke;Underrekke;Overklasse;Klasse;Underklasse;Infraklasse;Kohort;Overorden;Orden;Underorden;Infraorden;Overfamilie;Familie;Underfamilie;Tribus;Undertribus;Slekt;Underslekt;Seksjon;Art;Underart;Varietet;Form;FK_OverordnaLatinskNavnID;FK_TypeEksID;SistEndraMeningDato;Autorstreng;Hovedstatus;Bistatus;SistEndraDato;DagensDato;Forfatter;Aar;Referanse;Kommentar;PK_TaksonID;FK_GyldigLatinskNavnID;FinnesINorge;PopulærnavnBokmål;Litteraturreferanse;Maalform;Gyldig;DagensDato;SistEndraDato;Kommentar;PopulærnavnNynorsk;Litteraturreferanse;Maalform;Gyldig;DagensDato;SistEndraDato;Kommentar;PopulærnavnSamisk;Litteraturreferanse;Maalform;Gyldig;DagensDato;SistEndraDato;Kommentar
"216701";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Eleutherodactylidae";;;;;;;;;;;"244";"209857";;"Lutz, 1954";"Gyldig";"Ingen_bistatus";14.09.2021;14.09.2021;;;;;205240;216701;"Nei";;;;;;;;;;;;;;;;;;;;;;
"216714";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Pelodryadidae";;;;;;;;;;;"244";"209870";;"Günther, 1858";"Gyldig";"Ingen_bistatus";14.09.2021;14.09.2021;;;;;205253;216714;"Nei";;;;;;;;;;;;;;;;;;;;;;
"216702";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Eleutherodactylidae";;;;"Eleutherodactylus";;;;;;;"216701";"209858";;"Duméril and Bibron, 1841";"Gyldig";"Ingen_bistatus";14.09.2021;14.09.2021;;;;;205241;216702;"Nei";;;;;;;;;;;;;;;;;;;;;;
"216703";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Eleutherodactylidae";;;;"Eleutherodactylus";;;"coqui";;;;"216702";"209859";;"Thomas, 1966";"Gyldig";"Ingen_bistatus";14.09.2021;14.09.2021;;;;;205242;216703;"Nei";;;;;;;;;;;;;;;;;;;;;;
"216704";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Eleutherodactylidae";;;;"Eleutherodactylus";;;"planirostris";;;;"216702";"209860";;"(Cope, 1862)";"Gyldig";"Ingen_bistatus";14.09.2021;14.09.2021;;;;;205243;216704;"Nei";;;;;;;;;;;;;;;;;;;;;;
"216685";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Alytidae";;;;"Alytes";;;;;;;"216684";"209841";;"Wagler, 1830";"Gyldig";"Ingen_bistatus";14.09.2021;14.09.2021;;;;;205223;216685;"Nei";;;;;;;;;;;;;;;;;;;;;;
"216686";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Alytidae";;;;"Alytes";;;"obstetricans";;;;"216685";"209842";;"(Laurenti, 1768)";"Gyldig";"Ingen_bistatus";14.09.2021;14.09.2021;;;;;205224;216686;"Nei";;;;;;;;;;;;;;;;;;;;;;
"169547";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Pipidae";;;;"Xenopus";;;;;;;"169543";"161283";;;"Gyldig";"Ingen_bistatus";16.01.2017;16.01.2017;;;;;140156;169547;"Nei";;;;;;;;;;;;;;;;;;;;;;
"169548";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Pipidae";;;;"Xenopus";;;"laevis";;;;"169547";"161284";;"Daudin, 1802";"Gyldig";"Ingen_bistatus";16.01.2017;16.01.2017;;;;;140157;169548;"Nei";"klofrosk";;"Bokmål";"Ja";16.01.2017;16.01.2017;"sørafrikansk_sporefrosk";;;;;;;;;;;;;;;
"169545";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Leptodactylidae";;;;"Ceratophrys";;;;;;;"169542";"161281";;;"Gyldig";"Ingen_bistatus";16.01.2017;16.01.2017;;;;;140154;169545;"Nei";;;;;;;;;;;;;;;;;;;;;;
"169546";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Leptodactylidae";;;;"Ceratophrys";;;"ornata";;;;"169545";"161282";;"(Bell, 1843)";"Gyldig";"Ingen_bistatus";16.01.2017;16.01.2017;;;;;140155;169546;"Nei";"argentinsk hornfrosk";;"Bokmål";"Ja";16.01.2017;16.01.2017;;;;;;;;;;;;;;;;
"169536";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Dendrobatidae";;;;"Epipedobates";;;;;;;"169535";"161272";;;"Gyldig";"Ingen_bistatus";16.01.2017;16.01.2017;;;;;140144;169536;"Nei";;;;;;;;;;;;;;;;;;;;;;
"169537";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Dendrobatidae";;;;"Epipedobates";;;"tricolor";;;;"169536";"161273";;"(Boulenger, 1899)";"Gyldig";"Ingen_bistatus";16.01.2017;16.01.2017;;;;;140145;169537;"Nei";"trefarget dvergfrosk";;"Bokmål";"Ja";16.01.2017;16.01.2017;"fantompilgiftfrosk";;;;;;;;;;;;;;;
"127391";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Hylidae";;;;"Hyla";;;;;;;"127390";"118611";;;"Gyldig";"Ingen_bistatus";10.01.2011;10.01.2011;;;;;84257;127391;"Nei";;;;;;;;;;;;;;;;;;;;;;
"169520";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Hylidae";;;;"Litoria";;;;;;;"127390";"161256";;;"Gyldig";"Ingen_bistatus";14.09.2021;16.01.2017;;;;;140128;169520;"Nei";;;;;;;;;;;;;;;;;;;;;;
